date,txn,volume
1/1/2022 0:00,51390,2656817813
1/2/2022 0:00,51633,2184683248
1/3/2022 0:00,52465,2820678617
1/4/2022 0:00,52495,2972147750
1/5/2022 0:00,52248,4344360506
1/6/2022 0:00,49978,4052999896
1/7/2022 0:00,46495,4823212951
1/8/2022 0:00,45028,3452225327
1/9/2022 0:00,34552,2184873891
1/10/2022 0:00,57649,4226577170
1/11/2022 0:00,54016,3015604919
1/12/2022 0:00,49470,2877630961
1/13/2022 0:00,43737,3321004795
1/14/2022 0:00,44763,2505834407
1/15/2022 0:00,42114,1984512137
1/16/2022 0:00,41811,2066794389
1/17/2022 0:00,44346,3228857298
1/18/2022 0:00,43335,3052370868
1/19/2022 0:00,46827,3236682800
1/20/2022 0:00,50299,3615685056
1/21/2022 0:00,49060,8533527861
1/22/2022 0:00,47394,7299523948
1/23/2022 0:00,38226,3668133936
1/24/2022 0:00,42415,5928684010
1/25/2022 0:00,39256,2965557692
1/26/2022 0:00,39291,4753956503
1/27/2022 0:00,36137,5666269874
1/28/2022 0:00,37406,7124455791
1/29/2022 0:00,37354,3410467130
1/30/2022 0:00,35720,2159924078
1/31/2022 0:00,35357,2547036693
2/1/2022 0:00,37564,2702766753
2/2/2022 0:00,39099,2493214428
2/3/2022 0:00,36079,2316163120
2/4/2022 0:00,40886,2979927817
2/5/2022 0:00,40490,2492462698
2/6/2022 0:00,42706,1892637694
2/7/2022 0:00,40797,2794347314
2/8/2022 0:00,45439,2673060908
2/9/2022 0:00,48661,2369086113
2/10/2022 0:00,45045,3322936070
2/11/2022 0:00,45032,3460692395
2/12/2022 0:00,45354,2240648652
2/13/2022 0:00,40754,1620780873
2/14/2022 0:00,39039,2095965955
2/15/2022 0:00,43237,2494666225
2/16/2022 0:00,44122,2605971151
2/17/2022 0:00,43544,3039131388
2/18/2022 0:00,48343,2549711991
2/19/2022 0:00,40429,1562598942
2/20/2022 0:00,39611,2466951706
2/21/2022 0:00,34044,3276084151
2/22/2022 0:00,38881,2695073036
2/23/2022 0:00,39600,2328575945
2/24/2022 0:00,48884,5467058024
2/25/2022 0:00,35601,3478458901
2/26/2022 0:00,35298,1960105276
2/27/2022 0:00,35272,2791926359
2/28/2022 0:00,33646,2992596833
3/1/2022 0:00,40441,3141901483
3/2/2022 0:00,41097,3158746587
3/3/2022 0:00,40941,2179824445
3/4/2022 0:00,40444,3177295431
3/5/2022 0:00,39687,1702412304
3/6/2022 0:00,36777,2022764631
3/7/2022 0:00,38875,2726844557
3/8/2022 0:00,38500,2576870858
3/9/2022 0:00,42264,2378875502
3/10/2022 0:00,38594,2236077215
3/11/2022 0:00,39205,2309556347
3/12/2022 0:00,39294,1424681862
3/13/2022 0:00,38562,1803416306
3/14/2022 0:00,39451,1897041154
3/15/2022 0:00,41797,1852200627
3/16/2022 0:00,39927,2835494308
3/17/2022 0:00,49719,2800677838
3/18/2022 0:00,48595,3359172043
3/19/2022 0:00,43977,1865660029
3/20/2022 0:00,41967,1853760592
3/21/2022 0:00,39564,1977803144
3/22/2022 0:00,44015,2357305705
3/23/2022 0:00,41073,2175752244
3/24/2022 0:00,42837,3057448055
3/25/2022 0:00,43636,2846184550
3/26/2022 0:00,40015,1529348655
3/27/2022 0:00,42950,1972578067
3/28/2022 0:00,54007,2958711921
3/29/2022 0:00,51546,2880920730
3/30/2022 0:00,47909,2678254700
3/31/2022 0:00,46477,3091363152
4/1/2022 0:00,45864,2935523894
4/2/2022 0:00,47121,2814401207
4/3/2022 0:00,43879,2105177153
4/4/2022 0:00,42900,2735766449
4/5/2022 0:00,41834,2469385508
4/6/2022 0:00,44352,3629177384
4/7/2022 0:00,38738,2692995644
4/8/2022 0:00,36794,3081744599
4/9/2022 0:00,38143,1683793428
4/10/2022 0:00,37277,1518109620
4/11/2022 0:00,41412,4402684579
4/12/2022 0:00,37454,3181208689
4/13/2022 0:00,36465,2591169163
4/14/2022 0:00,37790,2413700560
4/15/2022 0:00,36129,2083261992
4/16/2022 0:00,37191,1118669260
4/17/2022 0:00,39030,1989225132
4/18/2022 0:00,39169,2392708071
4/19/2022 0:00,39255,2152009741
4/20/2022 0:00,39136,2656027659
4/21/2022 0:00,39374,2816899955
4/22/2022 0:00,38196,2180862937
4/23/2022 0:00,39315,1254286043
4/24/2022 0:00,36619,1159270089
4/25/2022 0:00,43132,2539398109
4/26/2022 0:00,42110,2299419849
4/27/2022 0:00,39559,2086151786
4/28/2022 0:00,44260,2805255615
4/29/2022 0:00,50546,2755928460
4/30/2022 0:00,48698,3255036384
5/1/2022 0:00,36746,2508084780
5/2/2022 0:00,30543,2421331387
5/3/2022 0:00,31284,2094499571
5/4/2022 0:00,35532,2600640576
5/5/2022 0:00,35133,2887192956
5/6/2022 0:00,34147,3271737827
5/7/2022 0:00,31720,2756329376
5/8/2022 0:00,35180,4705917272
5/9/2022 0:00,39757,7998472231
5/10/2022 0:00,37602,6750491148
5/11/2022 0:00,37204,11021228409
5/12/2022 0:00,36228,12512298878
5/13/2022 0:00,40032,4944509477
5/14/2022 0:00,43340,2910646861
5/15/2022 0:00,39176,2351805472
5/16/2022 0:00,35185,2832702812
5/17/2022 0:00,30426,2116734940
5/18/2022 0:00,31702,2216043154
5/19/2022 0:00,33566,2757180683
5/20/2022 0:00,29880,2402157754
5/21/2022 0:00,27077,1441572634
5/22/2022 0:00,28783,1141402692
5/23/2022 0:00,32701,1947949077
5/24/2022 0:00,29347,1509291172
5/25/2022 0:00,27339,1682459789
5/26/2022 0:00,28800,3123460250
5/27/2022 0:00,30716,2618297189
